,crash_id,lat,long,street,severity,illumination,weather,road_conditon,year,day,hour,date,day_n_nite_dummy
157044,2019080183,40.4482,-79.8985,PENN AV,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
157047,2019066482,40.5532,-80.0223,BABCOCK BL,1,1.0,3.0,1.0,2019,6,17.0,2019-6,True
157064,2019087127,40.5749,-80.0928,NORTH HILLS EX,1,1.0,3.0,1.0,2019,5,17.0,2019-8,True
157066,2019087135,40.5255,-80.1566,OHIO RIVER BL,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
157068,2019087143,40.5379,-80.2721,BEAVER VALLEY EX,1,1.0,3.0,1.0,2019,7,17.0,2019-8,True
157115,2019087581,40.4577,-79.9357,FAIRMOUNT ST,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
157132,2019095587,40.3887,-79.8303,CLYDE AV,1,1.0,3.0,1.0,2019,6,17.0,2019-9,True
157134,2019087627,40.4025,-80.016,DUNSTER ST,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
157135,2019087629,40.4242,-80.0181,SAW MILL RUN BL,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
157145,2019087688,40.4911,-79.9082,HGHLND PRK BR INT/RP W RD,1,1.0,3.0,1.0,2019,6,17.0,2019-8,True
157163,2019087816,40.4255,-79.9057,PENN LINCOLN PY,1,1.0,3.0,1.0,2019,7,17.0,2019-8,True
157185,2019087870,40.4377,-79.9851,PRIDE ST,1,1.0,3.0,1.0,2019,7,17.0,2019-8,True
157205,2019099437,40.3665,-80.0487,LONGUEVUE DR,1,1.0,3.0,1.0,2019,4,17.0,2019-10,True
157248,2019084067,40.6038,-80.0846,BRANDT SCHOOL RD,1,1.0,3.0,1.0,2019,3,17.0,2019-8,True
